Zone                                 ,Measure ,Unit  ,Annual guideline,Dry ,Wet ,DirectionOfFailure,Justification/Source
Enclosed_Coastal_Cape York			 ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,QLD WQ guidelines
Enclosed_Coastal_Wet Tropics         ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,There is no seasonal adjustment
Enclosed_Coastal_Dry Tropics         ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,
Enclosed_Coastal_Mackay Whitsunday   ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,
Enclosed_Coastal_Fitzroy             ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,
Enclosed_Coastal_Burnett Mary        ,chl     ,ugL-1 ,2               ,2   ,2   ,H                 ,
,,,,,,,
Open_Coastal_Cape York               ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,GBRMPA WQ guidelines
Open_Coastal_Wet Tropics             ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,"40% higher in summer, 30% lower in winter"
Open_Coastal_Dry Tropics             ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,Here summer is taken as Wet Season 
Open_Coastal_Mackay Whitsunday       ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,and winter is taken as Dry Season
Open_Coastal_Fitzroy                 ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,
Open_Coastal_Burnett Mary            ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,
,,,,,,,
Midshelf_Cape York                   ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,GBRMPA WQ guidelines
Midshelf_Wet Tropics                 ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,"40% higher in summer, 30% lower in winter"
Midshelf_Dry Tropics                 ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,Here summer is taken as Wet Season 
Midshelf_Mackay Whitsunday           ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,and winter is taken as Dry Season
Midshelf_Fitzroy                     ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,
Midshelf_Burnett Mary                ,chl     ,ugL-1 ,0.45            ,0.32,0.63,H                 ,
,,,,,,,
Offshore_Cape York                   ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,GBRMPA WQ guidelines
Offshore_Wet Tropics                 ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,"40% higher in summer, 30% lower in winter"
Offshore_Dry Tropics                 ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,Here summer is taken as Wet Season 
Offshore_Mackay Whitsunday           ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,and winter is taken as Dry Season
Offshore_Fitzroy                     ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,
Offshore_Burnett Mary                ,chl     ,ugL-1 ,0.4             ,0.28,0.56,H                 ,
,,,,,,,
Enclosed_Coastal_Cape York           ,nap     ,mgL-1 ,25              ,25  ,25  ,H                 ,QLD WQ guidelines
Enclosed_Coastal_Wet Tropics         ,nap     ,mgL-1 ,25              ,25  ,25  ,H                 ,There is no seasonal adjustment and
Enclosed_Coastal_Dry Tropics         ,nap     ,mgL-1 ,15              ,15  ,15  ,H                 ,values for CY and WT are not determined
Enclosed_Coastal_Mackay Whitsunday   ,nap     ,mgL-1 ,15              ,15  ,15  ,H                 ,Suggest applying same ratio as for turbidity
Enclosed_Coastal_Fitzroy             ,nap     ,mgL-1 ,15              ,15  ,15  ,H                 ,"between CY/WT and others, i.e (15*10)/6=25"
Enclosed_Coastal_Burnett Mary        ,nap     ,mgL-1 ,15              ,15  ,15  ,H                 ,NAP is taken as = TSS in this context
,,,,,,,
Open_Coastal_Cape York               ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,GBRMPA WQ guidelines
Open_Coastal_Wet Tropics             ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,"20% higher in summer, 20% lower in winter"
Open_Coastal_Dry Tropics             ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,Here summer is taken as Wet Season 
Open_Coastal_Mackay Whitsunday       ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,and winter is taken as Dry Season
Open_Coastal_Fitzroy                 ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,
Open_Coastal_Burnett Mary            ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,NAP is taken as = TSS in this context
,,,,,,,
Midshelf_Cape York                   ,nap     ,mgL-1 ,2               ,1.6 ,2.4 ,H                 ,GBRMPA WQ guidelines
